symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
ICICIBANK,LONG,36,2025-11-19 11:00:00+05:30,1377.8132,2025-11-19 15:15:00+05:30,1382.885,18258,6474,11784,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
ICICIBANK,SHORT,36,2025-11-21 10:00:00+05:30,1366.8898,2025-11-21 15:15:00+05:30,1370.8111,-14117,6455,-20572,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
RELIANCE,LONG,32,2025-11-25 09:45:00+05:30,1557.067,2025-11-25 12:15:00+05:30,1543.3793,-43801,6464,-50265,"EMA20 crossed above EMA50, price above EMA200",stop-loss
TCS,LONG,15,2025-11-26 11:45:00+05:30,3163.0486,2025-11-26 15:15:00+05:30,3159.9517,-4645,6391,-11036,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
HDFCBANK,LONG,49,2025-11-26 12:45:00+05:30,1003.8511,2025-11-26 15:15:00+05:30,1004.0987,1213,6454,-5241,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
INFY,LONG,32,2025-11-26 12:45:00+05:30,1550.2649,2025-11-26 15:15:00+05:30,1557.8325,24216,6475,17741,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
TCS,SHORT,15,2025-11-27 13:00:00+05:30,3130.5606,2025-11-27 15:15:00+05:30,3135.9405,-8070,6376,-14446,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
ICICIBANK,SHORT,36,2025-12-02 09:30:00+05:30,1372.4881,2025-12-02 15:15:00+05:30,1373.4119,-3326,6461,-9787,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
TCS,LONG,15,2025-12-03 09:30:00+05:30,3169.8507,2025-12-03 11:00:00+05:30,3195.7022,38777,6406,32371,"EMA20 crossed above EMA50, price above EMA200",target
INFY,LONG,31,2025-12-03 10:30:00+05:30,1569.8708,2025-12-03 15:15:00+05:30,1577.1267,22493,6442,16051,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
ICICIBANK,LONG,36,2025-12-03 13:45:00+05:30,1385.3155,2025-12-03 15:15:00+05:30,1391.6824,22921,6486,16435,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
RELIANCE,LONG,32,2025-12-04 11:30:00+05:30,1557.6672,2025-12-04 12:00:00+05:30,1549.5011,-26131,6470,-32601,"EMA20 crossed above EMA50, price above EMA200",stop-loss
HDFCBANK,LONG,49,2025-12-04 09:30:00+05:30,1002.3006,2025-12-04 12:15:00+05:30,996.2216,-29787,6442,-36229,"EMA20 crossed above EMA50, price above EMA200",stop-loss
HDFCBANK,LONG,49,2025-12-05 10:15:00+05:30,1001.6004,2025-12-05 15:15:00+05:30,1002.899,6363,6452,-89,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
RELIANCE,LONG,32,2025-12-08 10:15:00+05:30,1548.7645,2025-12-08 12:15:00+05:30,1537.9737,-34531,6456,-40987,"EMA20 crossed above EMA50, price above EMA200",stop-loss
RELIANCE,SHORT,32,2025-12-09 09:30:00+05:30,1524.5425,2025-12-09 15:15:00+05:30,1529.3587,-15412,6441,-21853,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
ICICIBANK,SHORT,36,2025-12-09 09:30:00+05:30,1381.9853,2025-12-09 15:15:00+05:30,1375.5125,23302,6473,16829,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
RELIANCE,SHORT,32,2025-12-11 09:45:00+05:30,1526.042,2025-12-11 10:30:00+05:30,1535.5122,-30305,6443,-36748,"EMA20 crossed below EMA50, price below EMA200",stop-loss
HDFCBANK,LONG,49,2025-12-11 12:30:00+05:30,1002.6007,2025-12-11 13:00:00+05:30,996.9177,-27847,6443,-34290,"EMA20 crossed above EMA50, price above EMA200",stop-loss
TCS,LONG,15,2025-12-12 11:30:00+05:30,3204.161,2025-12-12 15:15:00+05:30,3219.034,22310,6421,15889,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
