symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
ICICIBANK,LONG,35,2026-02-06 09:30:00+05:30,1404.5212,2026-02-06 11:00:00+05:30,1397.5581,-24371,6445,-30816,uptrend pullback: RSI 31.9->53.0 crossed 35.0,stop-loss
INFY,SHORT,33,2026-02-10 11:00:00+05:30,1509.547,2026-02-10 15:00:00+05:30,1496.278,43788,6473,37315,downtrend rally: RSI 65.2->65.0 crossed 65.0,target
RELIANCE,LONG,34,2026-02-12 11:45:00+05:30,1458.6375,2026-02-12 13:00:00+05:30,1452.6884,-20227,6462,-26689,uptrend pullback: RSI 33.8->36.2 crossed 35.0,stop-loss
ICICIBANK,LONG,35,2026-02-13 12:30:00+05:30,1414.8243,2026-02-13 15:15:00+05:30,1413.7757,-3670,6464,-10134,uptrend pullback: RSI 30.8->37.1 crossed 35.0,intraday square-off
TCS,SHORT,18,2026-02-17 10:45:00+05:30,2725.682,2026-02-17 11:30:00+05:30,2751.0398,-45644,6453,-52097,downtrend rally: RSI 66.3->58.8 crossed 65.0,stop-loss
HDFCBANK,SHORT,54,2026-02-23 09:45:00+05:30,922.2232,2026-02-23 15:15:00+05:30,924.4272,-11902,6477,-18379,downtrend rally: RSI 65.7->61.9 crossed 65.0,intraday square-off
TCS,SHORT,19,2026-02-25 09:45:00+05:30,2623.2128,2026-02-25 10:00:00+05:30,2648.0078,-47110,6480,-53590,downtrend rally: RSI 65.3->58.9 crossed 65.0,stop-loss
INFY,SHORT,38,2026-02-25 10:45:00+05:30,1306.5079,2026-02-25 15:15:00+05:30,1290.1869,62020,6465,55555,downtrend rally: RSI 67.2->60.2 crossed 65.0,intraday square-off
INFY,SHORT,38,2026-02-26 10:00:00+05:30,1306.8078,2026-02-26 12:45:00+05:30,1288.4729,69673,6464,63209,downtrend rally: RSI 65.0->59.7 crossed 65.0,target
INFY,SHORT,38,2026-02-27 09:45:00+05:30,1305.8081,2026-02-27 15:15:00+05:30,1300.8902,18688,6467,12221,downtrend rally: RSI 66.4->60.0 crossed 65.0,intraday square-off
INFY,SHORT,38,2026-03-04 10:00:00+05:30,1306.9078,2026-03-04 15:15:00+05:30,1307.5922,-2601,6471,-9072,downtrend rally: RSI 72.4->64.3 crossed 65.0,intraday square-off
TCS,SHORT,19,2026-03-06 09:45:00+05:30,2606.8177,2026-03-06 12:15:00+05:30,2574.8661,60708,6461,54247,downtrend rally: RSI 71.3->64.4 crossed 65.0,target
ICICIBANK,SHORT,38,2026-03-10 12:00:00+05:30,1305.4083,2026-03-10 15:00:00+05:30,1314.5744,-34831,6470,-41301,downtrend rally: RSI 68.4->63.5 crossed 65.0,stop-loss
HDFCBANK,SHORT,58,2026-03-10 12:00:00+05:30,852.6941,2026-03-10 15:15:00+05:30,849.9549,15887,6461,9426,downtrend rally: RSI 66.6->60.8 crossed 65.0,intraday square-off
HDFCBANK,SHORT,60,2026-03-16 12:00:00+05:30,830.4508,2026-03-16 14:15:00+05:30,836.4259,-35851,6480,-42331,downtrend rally: RSI 65.5->64.7 crossed 65.0,stop-loss
TCS,SHORT,21,2026-03-23 09:30:00+05:30,2369.7888,2026-03-23 09:30:00+05:30,2390.8997,-44333,6478,-50811,downtrend rally: RSI 65.6->45.5 crossed 65.0,stop-loss
INFY,SHORT,40,2026-03-23 09:30:00+05:30,1239.1282,2026-03-23 09:30:00+05:30,1252.1266,-51994,6470,-58464,downtrend rally: RSI 66.3->48.5 crossed 65.0,stop-loss
RELIANCE,LONG,35,2026-03-23 09:45:00+05:30,1406.2217,2026-03-23 10:15:00+05:30,1395.8726,-36222,6444,-42666,uptrend pullback: RSI 33.5->35.2 crossed 35.0,stop-loss
HDFCBANK,SHORT,64,2026-03-24 13:45:00+05:30,769.819,2026-03-24 15:15:00+05:30,764.5293,33854,6454,27400,downtrend rally: RSI 66.6->64.7 crossed 65.0,intraday square-off
RELIANCE,SHORT,36,2026-04-01 10:30:00+05:30,1370.7886,2026-04-01 15:15:00+05:30,1370.311,1720,6460,-4740,downtrend rally: RSI 70.3->64.8 crossed 65.0,intraday square-off
INFY,LONG,37,2026-04-09 10:45:00+05:30,1320.396,2026-04-09 15:15:00+05:30,1333.9997,50334,6457,43877,uptrend pullback: RSI 33.1->35.1 crossed 35.0,intraday square-off
RELIANCE,SHORT,37,2026-04-15 10:30:00+05:30,1336.4989,2026-04-15 14:45:00+05:30,1344.5949,-29955,6465,-36420,downtrend rally: RSI 67.1->64.8 crossed 65.0,stop-loss
TCS,LONG,19,2026-04-22 09:45:00+05:30,2576.1726,2026-04-22 11:00:00+05:30,2558.4679,-33639,6435,-40074,uptrend pullback: RSI 27.5->38.8 crossed 35.0,stop-loss
ICICIBANK,LONG,36,2026-04-22 10:15:00+05:30,1368.4104,2026-04-22 15:15:00+05:30,1367.0898,-4754,6454,-11208,uptrend pullback: RSI 34.3->36.9 crossed 35.0,intraday square-off
INFY,SHORT,42,2026-04-29 11:30:00+05:30,1172.3482,2026-04-29 15:15:00+05:30,1167.7502,19311,6454,12857,downtrend rally: RSI 71.5->63.3 crossed 65.0,intraday square-off
HDFCBANK,SHORT,63,2026-05-04 10:00:00+05:30,783.5149,2026-05-04 13:15:00+05:30,773.9544,60231,6456,53775,downtrend rally: RSI 67.5->63.0 crossed 65.0,target
RELIANCE,LONG,34,2026-05-06 11:15:00+05:30,1448.4344,2026-05-06 12:15:00+05:30,1438.8426,-32612,6446,-39058,uptrend pullback: RSI 32.2->36.3 crossed 35.0,stop-loss
TCS,SHORT,20,2026-05-06 09:45:00+05:30,2444.4664,2026-05-06 12:45:00+05:30,2415.5643,57804,6439,51365,downtrend rally: RSI 69.8->55.8 crossed 65.0,target
HDFCBANK,LONG,63,2026-05-08 10:30:00+05:30,784.7854,2026-05-08 12:30:00+05:30,779.2954,-34587,6452,-41039,uptrend pullback: RSI 33.8->35.8 crossed 35.0,stop-loss
TCS,SHORT,21,2026-05-15 10:30:00+05:30,2286.014,2026-05-15 15:15:00+05:30,2264.4791,45223,6410,38813,downtrend rally: RSI 66.5->64.2 crossed 65.0,intraday square-off
INFY,SHORT,44,2026-05-15 10:15:00+05:30,1123.6628,2026-05-15 15:15:00+05:30,1120.236,15078,6461,8617,downtrend rally: RSI 70.0->64.5 crossed 65.0,intraday square-off
HDFCBANK,SHORT,65,2026-05-21 10:00:00+05:30,763.6208,2026-05-21 12:30:00+05:30,757.16,41996,6466,35530,downtrend rally: RSI 65.7->57.7 crossed 65.0,target
INFY,LONG,42,2026-05-21 13:45:00+05:30,1184.1551,2026-05-21 15:15:00+05:30,1180.5457,-15160,6469,-21629,uptrend pullback: RSI 34.4->40.1 crossed 35.0,intraday square-off
ICICIBANK,SHORT,40,2026-05-21 10:00:00+05:30,1243.5268,2026-05-21 15:15:00+05:30,1242.2726,5017,6475,-1458,downtrend rally: RSI 69.1->64.0 crossed 65.0,intraday square-off
ICICIBANK,LONG,38,2026-05-27 09:45:00+05:30,1283.2849,2026-05-27 13:30:00+05:30,1275.221,-30643,6430,-37073,uptrend pullback: RSI 32.3->46.4 crossed 35.0,stop-loss
INFY,LONG,41,2026-06-01 09:30:00+05:30,1196.4588,2026-06-01 15:15:00+05:30,1202.1392,23290,6455,16835,uptrend pullback: RSI 23.4->55.0 crossed 35.0,intraday square-off
HDFCBANK,SHORT,66,2026-06-02 13:15:00+05:30,750.7747,2026-06-02 15:15:00+05:30,749.8249,6269,6465,-196,downtrend rally: RSI 68.0->63.5 crossed 65.0,intraday square-off
INFY,LONG,40,2026-06-03 11:00:00+05:30,1229.0686,2026-06-03 11:45:00+05:30,1216.3029,-51063,6437,-57500,uptrend pullback: RSI 33.2->37.0 crossed 35.0,stop-loss
ICICIBANK,SHORT,40,2026-06-03 13:45:00+05:30,1237.8285,2026-06-03 13:45:00+05:30,1245.9052,-32306,6468,-38774,downtrend rally: RSI 68.9->62.0 crossed 65.0,stop-loss
ICICIBANK,SHORT,40,2026-06-03 14:30:00+05:30,1242.827,2026-06-03 15:15:00+05:30,1241.5724,5019,6472,-1453,downtrend rally: RSI 68.0->64.3 crossed 65.0,intraday square-off
RELIANCE,SHORT,38,2026-06-10 10:15:00+05:30,1283.5148,2026-06-10 12:45:00+05:30,1269.3289,53907,6436,47471,downtrend rally: RSI 79.9->62.5 crossed 65.0,target
HDFCBANK,SHORT,67,2026-06-10 10:15:00+05:30,738.8283,2026-06-10 12:45:00+05:30,744.4254,-37501,6468,-43969,downtrend rally: RSI 68.0->49.4 crossed 65.0,stop-loss
TCS,SHORT,23,2026-06-10 10:15:00+05:30,2166.8498,2026-06-10 15:15:00+05:30,2154.046,29449,6475,22974,downtrend rally: RSI 71.2->61.6 crossed 65.0,intraday square-off
TCS,SHORT,23,2026-06-12 11:30:00+05:30,2157.6525,2026-06-12 15:15:00+05:30,2162.5486,-11261,6470,-17731,downtrend rally: RSI 71.5->64.1 crossed 65.0,intraday square-off
INFY,SHORT,44,2026-06-15 10:00:00+05:30,1125.9621,2026-06-15 10:30:00+05:30,1133.6738,-33932,6469,-40401,downtrend rally: RSI 69.2->61.2 crossed 65.0,stop-loss
TCS,LONG,22,2026-06-18 10:00:00+05:30,2198.4593,2026-06-18 11:15:00+05:30,2184.8061,-30037,6418,-36455,uptrend pullback: RSI 33.4->37.6 crossed 35.0,stop-loss
TCS,SHORT,23,2026-06-22 10:15:00+05:30,2133.3598,2026-06-22 11:00:00+05:30,2151.3306,-41333,6452,-47785,downtrend rally: RSI 65.6->62.2 crossed 65.0,stop-loss
TCS,SHORT,23,2026-06-22 11:45:00+05:30,2148.3553,2026-06-22 15:15:00+05:30,2125.7375,52021,6458,45563,downtrend rally: RSI 69.7->64.1 crossed 65.0,intraday square-off
ICICIBANK,LONG,37,2026-06-23 14:15:00+05:30,1351.0052,2026-06-23 15:00:00+05:30,1344.5454,-23901,6476,-30377,uptrend pullback: RSI 32.9->36.5 crossed 35.0,stop-loss
ICICIBANK,LONG,36,2026-06-30 11:15:00+05:30,1383.4149,2026-06-30 12:30:00+05:30,1375.0401,-30149,6467,-36616,uptrend pullback: RSI 34.8->42.5 crossed 35.0,stop-loss
